No.                  Date/Time           Status           Location ID 
700481               22/12/2020 07:20    C/Out            109         
700481               22/12/2020 07:20    C/Out            109         
700481               22/12/2020 19:48    C/Out            108         
700481               22/12/2020 19:48    C/Out            108         
700481               22/12/2020 19:54    C/Out            109         
700481               22/12/2020 19:54    C/Out            109         
700481               23/12/2020 07:15    C/Out            109         
700481               23/12/2020 07:15    C/Out            109         
700481               23/12/2020 07:15    C/Out            109         
700481               23/12/2020 07:15    OverTime In      109         
700481               23/12/2020 07:21    OverTime In      109         
700481               23/12/2020 07:47    OverTime In      109         
700481               23/12/2020 20:02    C/In             109         
700481               23/12/2020 20:02    C/In             109         
700493               22/12/2020 08:44    C/In             109         
700493               22/12/2020 08:44    C/In             109         
700493               22/12/2020 18:46    C/Out            109         
700493               22/12/2020 18:46    C/Out            109         
700493               23/12/2020 08:38    OverTime In      109         
700493               23/12/2020 20:09    C/In             109         
700544               22/12/2020 07:36    C/Out            111         
700544               22/12/2020 10:19    C/In             112         
700544               22/12/2020 10:19    C/In             112         
700544               22/12/2020 13:24    C/In             112         
700544               22/12/2020 16:12    C/Out            112         
700544               22/12/2020 18:29    C/Out            112         
700544               22/12/2020 19:44    C/Out            112         
700544               23/12/2020 07:25    C/Out            112         
700544               23/12/2020 08:21    C/In             112         
700544               23/12/2020 08:43    C/In             112         
700544               23/12/2020 11:27    C/In             112         
700544               23/12/2020 14:07    C/In             112         
700544               23/12/2020 16:24    C/In             112         
700544               23/12/2020 18:25    C/In             112         
700544               23/12/2020 20:13    C/Out            112         
700593               22/12/2020 08:00    C/In             112         
700593               22/12/2020 16:02    C/Out            112         
700593               22/12/2020 20:55    C/Out            111         
700593               23/12/2020 08:28    C/In             112         
700593               23/12/2020 12:03    C/In             112         
700593               23/12/2020 16:17    C/In             112         
700593               23/12/2020 17:31    C/Out            111         
700630               22/12/2020 08:36    C/In             109         
700630               22/12/2020 23:05    C/Out            109         
700630               23/12/2020 08:42    OverTime In      109         
700630               23/12/2020 20:44    C/In             109         
700643               22/12/2020 07:22    C/In             112         
700643               22/12/2020 11:46    C/In             111         
700643               22/12/2020 13:35    C/In             112         
700643               22/12/2020 22:14    C/Out            112         
700643               23/12/2020 07:11    C/Out            112         
700643               23/12/2020 11:39    C/In             112         
700643               23/12/2020 18:31    C/In             112         
700673               22/12/2020 08:57    C/In             108         
700673               22/12/2020 23:33    C/Out            108         
700673               23/12/2020 08:52    C/In             108         
700673               23/12/2020 20:59    C/Out            108         
700690               23/12/2020 09:57    C/Out            111         
700690               23/12/2020 14:34    C/Out            111         
700724               22/12/2020 03:43    C/Out            109         
